Date,Close,Action,Capitals,Action_Label
2024-01-31,475.335,1.0,492649.62040400004,BUY
2024-02-22,499.571,-1.0,512657.46571600006,SELL
2024-02-23,499.916,1.0,509701.40887500014,BUY
2024-03-04,504.296,-1.0,512353.77110800013,SELL
2024-03-05,499.256,1.0,507757.1273890001,BUY
2024-03-11,503.291,-1.0,509528.2176340002,SELL
2024-03-12,508.705,1.0,511297.7372140002,BUY
2024-03-18,506.416,-1.0,508598.6830840002,SELL
2024-03-20,513.939,1.0,511706.20340400026,BUY
2024-03-26,512.291,-1.0,510908.1706190003,SELL
2024-03-28,516.498,1.0,509246.5691940004,BUY
2024-04-05,511.915,-1.0,499370.97101400036,SELL
2024-04-09,512.795,1.0,496751.6820780004,BUY
2024-04-10,507.66,-1.0,489696.81676600047,SELL
2024-05-14,516.724,1.0,490282.9784380006,BUY
2024-06-03,521.169,-1.0,494152.6016260006,SELL
2024-06-13,535.634,1.0,492041.2245760006,BUY
2024-07-02,543.86,-1.0,493280.7081760006,SELL
2024-07-03,546.287,1.0,494286.2888480007,BUY
2024-07-10,556.055,-1.0,497814.1172080007,SELL
2024-07-11,551.26,1.0,491942.5075840007,BUY
2024-07-22,549.448,-1.0,487401.83599600074,SELL
2024-07-23,548.586,1.0,485279.3369680008,BUY
2024-07-25,533.36,-1.0,472971.5676240008,SELL
2024-08-27,556.293,1.0,473301.6005240009,BUY
2024-09-04,545.783,-1.0,462345.8510740009,SELL
2024-09-05,544.455,1.0,459893.888438001,BUY
2024-09-09,541.285,-1.0,454380.35462600103,SELL
2024-09-16,557.56,1.0,453907.89844400104,BUY
2024-09-17,557.789,-1.0,454363.41528600105,SELL
2024-09-23,566.058,1.0,453268.0632860011,BUY
2024-10-08,569.535,-1.0,452502.9384860011,SELL
2024-10-11,575.904,1.0,453913.30797800113,BUY
2024-10-16,578.607,-1.0,452708.2124860011,SELL
2024-10-17,578.657,1.0,448613.4364360012,BUY
2024-10-31,565.034,-1.0,442054.82068600116,SELL
2024-11-08,594.396,1.0,442225.5866050011,BUY
2024-11-11,594.963,-1.0,442093.31923100114,SELL
2024-11-14,589.587,1.0,437844.9269990012,BUY
2024-11-22,591.733,-1.0,436760.35672900116,SELL
2024-11-27,595.033,1.0,434275.2278050012,BUY
2024-12-18,582.562,-1.0,436692.26594200113,SELL
2025-01-28,602.707,1.0,438212.81770300126,BUY
2025-02-04,599.976,-1.0,432064.4958250013,SELL
2025-02-05,602.408,1.0,433338.91110200126,BUY
2025-02-11,603.495,-1.0,430845.97345100134,SELL
2025-02-14,607.872,1.0,429389.26035300136,BUY
2025-02-21,598.141,-1.0,428424.8692950014,SELL
2025-02-26,592.757,1.0,426149.93727300136,BUY
2025-02-28,592.398,-1.0,418464.1694570014,SELL
